,id,name,url,summary,picture,birthplace,deathplace,birthdate,deathdate,cause_of_death,last name
10,10,raphael,http://wikigallery.org/wiki/artist39666/Raphael/page-1,,,,,,,,raphael
11,11,michelangelo buonarroti,http://wikigallery.org/wiki/artist39667/Michelangelo-Buonarroti/page-1,"Michelangelo di Lodovico Buonarroti Simoni (Italian: [mikeˈlandʒelo di lodoˈviːko ˌbwɔnarˈrɔːti siˈmoːni]; 6 March 1475 – 18 February 1564), known as Michelangelo (English: ), was an Italian sculptor, painter, architect, and poet of the High Renaissance. Born in the Republic of Florence, his work was inspired by models from classical antiquity and had a lasting influence on Western art. Michelangelo's creative abilities and mastery in a range of artistic arenas define him as an archetypal Renaissance man, along with his rival and elder contemporary, Leonardo da Vinci. Given the sheer volume of surviving correspondence, sketches, and reminiscences, Michelangelo is one of the best-documented artists of the 16th century. He was lauded by contemporary biographers as the most accomplished artist of his era.Michelangelo achieved fame early; two of his best-known works, the Pietà and David, were sculpted before the age of thirty. Although he did not consider himself a painter, Michelangelo created two of the most influential frescoes in the history of Western art: the scenes from Genesis on the ceiling of the Sistine Chapel in Rome, and The Last Judgment on its altar wall. His design of the Laurentian Library pioneered Mannerist architecture. At the age of 71, he succeeded Antonio da Sangallo the Younger as the architect of St. Peter's Basilica. Michelangelo transformed the plan so that the western end was finished to his design, as was the dome, with some modification, after his death.
Michelangelo was the first Western artist whose biography was published while he was alive. In fact, two biographies were published during his lifetime. One of them, by Giorgio Vasari, proposed that Michelangelo's work transcended that of any artist living or dead, and was ""supreme in not one art alone but in all three.""In his lifetime, Michelangelo was often called Il Divino ('the divine one'). His contemporaries often admired his terribilità—his ability to instill a sense of awe in viewers of his art. Attempts by subsequent artists to imitate the expressive physicality of Michelangelo's style contributed to the rise of Mannerism, a short-lived movement in Western art following the High Renaissance.",11.0,8.0,72.0,,1564-02-18,,buonarroti
12,12,francisco de goya y lucientes,http://wikigallery.org/wiki/artist39655/Francisco-De-Goya-y-Lucientes/page-1,"Francisco José de Goya y Lucientes (; Spanish: [fɾanˈθisko xoˈse ðe ˈɣoʝa i luˈθjentes]; 30 March 1746 – 16 April 1828) was a Spanish romantic painter and printmaker. He is considered the most important Spanish artist of the late 18th and early 19th centuries. His paintings, drawings, and engravings reflected contemporary historical upheavals and influenced important 19th- and 20th-century painters. Goya is often referred to as the last of the Old Masters and the first of the moderns.Goya was born to a middle-class family in 1746, in Fuendetodos in Aragon. He studied painting from age 14 under José Luzán y Martinez and moved to Madrid to study with Anton Raphael Mengs. He married Josefa Bayeu in 1773. Their life was characterised by a series of pregnancies and miscarriages, and only one child, a son, survived into adulthood. Goya became a court painter to the Spanish Crown in 1786 and this early portion of his career is marked by portraits of the Spanish aristocracy and royalty, and Rococo-style tapestry cartoons designed for the royal palace.
He was guarded, and although letters and writings survive, little is known about his thoughts. He had a severe and undiagnosed illness in 1793 which left him deaf, after which his work became progressively darker and pessimistic. His later easel and mural paintings, prints and drawings appear to reflect a bleak outlook on personal, social and political levels, and contrast with his social climbing. He was appointed Director of the Royal Academy in 1795, the year Manuel Godoy made an unfavorable treaty with France. In 1799, Goya became Primer Pintor de Cámara (Prime Court Painter), the highest rank for a Spanish court painter. In the late 1790s, commissioned by Godoy, he completed his La maja desnuda, a remarkably daring nude for the time and clearly indebted to Diego Velázquez. In 1800–01 he painted Charles IV of Spain and His Family, also influenced by Velázquez.
In 1807, Napoleon led the French army into the Peninsular War against Spain. Goya remained in Madrid during the war, which seems to have affected him deeply. Although he did not speak his thoughts in public, they can be inferred from his Disasters of War series of prints (although published 35 years after his death) and his 1814 paintings The Second of May 1808 and The Third of May 1808. Other works from his mid-period include the Caprichos and Los Disparates etching series, and a wide variety of paintings concerned with insanity, mental asylums, witches, fantastical creatures and religious and political corruption, all of which suggest that he feared for both his country's fate and his own mental and physical health.
His late period culminates with the Black Paintings of 1819–1823, applied on oil on the plaster walls of his house the Quinta del Sordo (House of the Deaf Man) where, disillusioned by political and social developments in Spain, he lived in near isolation. Goya eventually abandoned Spain in 1824 to retire to the French city of Bordeaux, accompanied by his much younger maid and companion, Leocadia Weiss, who may or may not have been his lover. There he completed his La Tauromaquia series and a number of other, major, canvases.
Following a stroke which left him paralyzed on his right side, and with failing eyesight and poor access to painting materials, he died and was buried on 16 April 1828 aged 82. His body was later re-interred in the Real Ermita de San Antonio de la Florida in Madrid. Famously, the skull was missing, a detail the Spanish consul immediately communicated to his superiors in Madrid, who wired back, ""Send Goya, with or without head.""",12.0,9.0,22.0,1746-03-30,1828-04-16,,lucientes
13,13,winslow homer,http://wikigallery.org/wiki/artist36460/Winslow-Homer/page-1,"Winslow Homer (February 24, 1836 – September 29, 1910) was an American landscape painter and illustrator, best known for his marine subjects. He is considered one of the foremost painters in 19th-century America and a preeminent figure in American art.
Largely self-taught, Homer began his career working as a commercial illustrator. He subsequently took up oil painting and produced major studio works characterized by the weight and density he exploited from the medium. He also worked extensively in watercolor, creating a fluid and prolific oeuvre, primarily chronicling his working vacations.",13.0,10.0,346.0,1836-02-24,1910-09-29,,homer
14,14,eugene delacroix,http://wikigallery.org/wiki/artist39552/Eugene-Delacroix/page-1,"Ferdinand Victor Eugène Delacroix ( DEL-ə-krwah, -⁠KRWAH, French: [øʒɛn dəlakʁwa]; 26 April 1798 – 13 August 1863) was a French Romantic artist regarded from the outset of his career as the leader of the French Romantic school.In contrast to the Neoclassical perfectionism of his chief rival Ingres, Delacroix took for his inspiration the art of Rubens and painters of the Venetian Renaissance, with an attendant emphasis on colour and movement rather than clarity of outline and carefully modelled form. Dramatic and romantic content characterized the central themes of his maturity, and led him not to the classical models of Greek and Roman art, but to travel in North Africa, in search of the exotic. Friend and spiritual heir to Théodore Géricault, Delacroix was also inspired by Lord Byron, with whom he shared a strong identification with the ""forces of the sublime"", of nature in often violent action.However, Delacroix was given to neither sentimentality nor bombast, and his Romanticism was that of an individualist. In the words of Baudelaire, ""Delacroix was passionately in love with passion, but coldly determined to express passion as clearly as possible."" Together with Ingres, Delacroix is considered one of the last old Masters of painting, and one of the few who was ever photographed.
As a painter and muralist, Delacroix's use of expressive brushstrokes and his study of the optical effects of colour profoundly shaped the work of the Impressionists, while his passion for the exotic inspired the artists of the Symbolist movement. A fine lithographer, Delacroix illustrated various works of William Shakespeare, the Scottish author Walter Scott and the German author Johann Wolfgang von Goethe.",14.0,11.0,2.0,1798-04-26,1863-08-13,,delacroix
15,15,henri de toulouse-lautrec,http://wikigallery.org/wiki/artist39536/Henri-De-Toulouse-Lautrec/page-1,"Comte Henri Marie Raymond de Toulouse-Lautrec-Monfa (24 November 1864 – 9 September 1901) was a French painter, printmaker, draughtsman, caricaturist and illustrator whose immersion in the colourful and theatrical life of Paris in the late 19th century allowed him to produce a collection of enticing, elegant, and provocative images of the sometimes decadent affairs of those times.
Born into the aristocracy, Toulouse-Lautrec broke both his legs around the time of his adolescence and, due to the rare condition Pycnodysostosis, was very short as an adult due to his undersized legs. In addition to his alcoholism, he developed an affinity for brothels and prostitutes that directed the subject matter for many of his works recording many details of the late-19th-century bohemian lifestyle in Paris. Toulouse-Lautrec is among the painters described as being Post-Impressionists, with Paul Cézanne, Vincent van Gogh, Paul Gauguin, and Georges Seurat also commonly considered as belonging in this loose group.
In a 2005 auction at Christie's auction house, La Blanchisseuse, his early painting of a young laundress, sold for US$22.4 million, setting a new record for the artist for a price at auction.",15.0,12.0,347.0,1864-11-24,1901-09-09,,toulouse-lautrec
16,16,peter paul rubens,http://wikigallery.org/wiki/artist35605/Peter-Paul-Rubens/page-1,,,,,,,,rubens
17,17,camille pissarro,http://wikigallery.org/wiki/artist39654/Camille-Pissarro/page-1,"Jacob Abraham Camille Pissarro ( piss-AR-oh, French: [kamij pisaʁo]; 10 July 1830 – 13 November 1903) was a Danish-French Impressionist and Neo-Impressionist painter born on the island of St Thomas (now in the US Virgin Islands, but then in the Danish West Indies). His importance resides in his contributions to both Impressionism and Post-Impressionism. Pissarro studied from great forerunners, including Gustave Courbet and Jean-Baptiste-Camille Corot. He later studied and worked alongside Georges Seurat and Paul Signac when he took on the Neo-Impressionist style at the age of 54.
In 1873 he helped establish a collective society of fifteen aspiring artists, becoming the ""pivotal"" figure in holding the group together and encouraging the other members. Art historian John Rewald called Pissarro the ""dean of the Impressionist painters"", not only because he was the oldest of the group, but also ""by virtue of his wisdom and his balanced, kind, and warmhearted personality"". Paul Cézanne said ""he was a father for me. A man to consult and a little like the good Lord"", and he was also one of Paul Gauguin's masters. Pierre-Auguste Renoir referred to his work as ""revolutionary"", through his artistic portrayals of the ""common man"", as Pissarro insisted on painting individuals in natural settings without ""artifice or grandeur"".
Pissarro is the only artist to have shown his work at all eight Paris Impressionist exhibitions, from 1874 to 1886. He ""acted as a father figure not only to the Impressionists"" but to all four of the major Post-Impressionists, Cézanne, Seurat, Gauguin, and van Gogh.",17.0,13.0,2.0,1830-07-10,1903-11-13,,pissarro
18,18,paul gauguin,http://wikigallery.org/wiki/artist39240/Paul-Gauguin/page-1,"Eugène Henri Paul Gauguin (UK: , US: ; French: [ø.ʒɛn ɑ̃.ʁi pɔl ɡo.ɡɛ̃]; 7 June 1848 – 8 May 1903) was a French Post-Impressionist artist. Unappreciated until after his death, Gauguin is now recognized for his experimental use of colour and Synthetist style that were distinct from Impressionism. Toward the end of his life, he spent ten years in French Polynesia. The paintings from this time depict people or landscapes from that region.
His work was influential on the French avant-garde and many modern artists, such as Pablo Picasso and Henri Matisse, and he is well known for his relationship with Vincent and Theo van Gogh.  Gauguin's art became popular after his death, partially from the efforts of dealer Ambroise Vollard, who organized exhibitions of his work late in his career and assisted in organizing two important posthumous exhibitions in Paris.Gauguin was an important figure in the Symbolist movement as a painter, sculptor, printmaker, ceramist, and writer. His expression of the inherent meaning of the subjects in his paintings, under the influence of the cloisonnist style, paved the way for Primitivism and the return to the pastoral. He was also an influential practitioner of wood engraving and woodcuts as art forms.",18.0,2.0,348.0,1848-06-07,1903-05-08,,gauguin
19,19,edouard manet,http://wikigallery.org/wiki/artist46292/Edouard-Manet/page-1,"Édouard Manet (UK: , US: ; French: [edwaʁ manɛ]; 23 January 1832 – 30 April 1883) was a French modernist painter. He was one of the first 19th-century artists to paint modern life, as well as a pivotal figure in the transition from Realism to Impressionism.
Born into an upper-class household with strong political connections, Manet rejected the naval career originally envisioned for him; he became engrossed in the world of painting. His early masterworks, The Luncheon on the Grass (Le déjeuner sur l'herbe) and Olympia, both 1863, caused great controversy and served as rallying points for the young painters who would create Impressionism. Today, these are considered watershed paintings that mark the start of modern art. The last 20 years of Manet's life saw him form bonds with other great artists of the time; he developed his own simple and direct style that would be heralded as innovative and serve as a major influence for future painters.",19.0,2.0,2.0,1832-01-23,1883-04-30,,manet
20,20,canaletto,http://wikigallery.org/wiki/artist40919/%28Giovanni-Antonio-Canal%29-Canaletto/page-1,"Giovanni Antonio Canal (18 October 1697 – 19 April 1768), commonly known as Canaletto (Italian: [kanaˈletto]), was an Italian painter from the Republic of Venice, considered an important member of the 18th-century Venetian school.
Painter of city views or vedute, of Venice, Rome, and London, he also painted imaginary views (referred to as capricci), although the demarcation in his works between the real and the imaginary is never quite clearcut. He was further an important printmaker using the etching technique. In the period from 1746 to 1756 he worked in England where he painted many views of London and other sites including Warwick Castle and Alnwick Castle. He was highly successful in England, thanks to the British merchant and connoisseur Joseph ""Consul"" Smith, whose large collection of Canaletto's works was sold to King George III in 1762.",20.0,14.0,14.0,1697-10-18,1768-04-19,,canaletto
21,21,john constable,http://wikigallery.org/wiki/artist39661/John-Constable/page-1,"John Constable  (; 11 June 1776 – 31 March 1837) was an English landscape painter in the Romantic tradition. Born in Suffolk, he is known principally for revolutionising the genre of landscape painting with his pictures of Dedham Vale, the area surrounding his home – now known as ""Constable Country"" – which he invested with an intensity of affection. ""I should paint my own places best"", he wrote to his friend John Fisher in 1821, ""painting is but another word for feeling"".Constable's most famous paintings include Wivenhoe Park (1816), Dedham Vale (1821) and The Hay Wain (1821). Although his paintings are now among the most popular and valuable in British art, he was never financially successful. He became a member of the establishment after he was elected to the Royal Academy of Arts at the age of 52. His work was embraced in France, where he sold more than in his native England and inspired the Barbizon school.",21.0,15.0,7.0,1776-06-11,1837-03-31,,constable
22,22,tiziano vecellio,http://wikigallery.org/wiki/artist35732/Tiziano-Vecellio-%28Titian%29/page-1,"Tiziano Vecelli or Vecellio (pronounced [titˈtsjaːno veˈtʃɛlljo]; c. 1488/90 – 27 August 1576), known in English as Titian ( TISH-ən), was an Italian (Venetian) painter of the Renaissance, considered the most important member of the 16th-century Venetian school. He was born in Pieve di Cadore, near Belluno. During his lifetime he was often called da Cadore, 'from Cadore', taken from his native region.Recognized by his contemporaries as ""The Sun Amidst Small Stars"" (recalling the final line of Dante's Paradiso), Titian was one of the most versatile of Italian painters, equally adept with portraits, landscape backgrounds, and mythological and religious subjects. His painting methods, particularly in the application and use of colour, exercised a profound influence not only on painters of the late Italian Renaissance, but on future generations of Western artists.His career was successful from the start, and he became sought after by patrons, initially from Venice and its possessions, then joined by the north Italian princes, and finally the Habsburgs and papacy. Along with Giorgione, he is considered a founder of the Venetian School of Italian Renaissance painting.
During the course of his long life, Titian's artistic manner changed drastically, but he retained a lifelong interest in colour. Although his mature works may not contain the vivid, luminous tints of his early pieces, their loose brushwork and subtlety of tone were without precedent in the history of Western painting.",22.0,16.0,14.0,,1576-08-27,,vecellio
23,23,edgar degas,http://wikigallery.org/wiki/artist39629/Edgar-Degas/page-1,"Edgar Degas (UK: , US: ; born Hilaire-Germain-Edgar De Gas, French: [ilɛːʁ ʒɛʁmɛ̃ ɛdɡaʁ də ɡa]; 19 July 1834 – 27 September 1917) was a French Impressionist artist famous for his pastel drawings and oil paintings.
Degas also produced bronze sculptures, prints and drawings. Degas is especially identified with the subject of dance; more than half of his works depict dancers. Although Degas is regarded as one of the founders of Impressionism, he rejected the term, preferring to be called a realist, and did not paint outdoors as many Impressionists did.
Degas was a superb draftsman, and particularly masterly in depicting movement, as can be seen in his rendition of dancers and bathing female nudes. In addition to ballet dancers and bathing women, Degas painted racehorses and racing jockeys, as well as portraits. His portraits are notable for their psychological complexity and their portrayal of human isolation.At the beginning of his career, Degas wanted to be a history painter, a calling for which he was well prepared by his rigorous academic training and close study of classical art. In his early thirties he changed course, and by bringing the traditional methods of a history painter to bear on contemporary subject matter, he became a classical painter of modern life.",23.0,2.0,2.0,1834-07-19,1917-09-27,,degas
24,24,alfred sisley,http://wikigallery.org/wiki/artist40922/Alfred-Sisley/page-1,"Alfred Sisley (; French: [sislɛ]; 30 October 1839 – 29 January 1899) was an Impressionist landscape painter who was born and spent most of his life in France, but retained British citizenship. He was the most consistent of the Impressionists in his dedication to painting landscape en plein air (i.e., outdoors). He deviated into figure painting only rarely and, unlike Renoir and Pissarro, he found that Impressionism fulfilled his artistic needs.
Among his important works are a series of paintings of the River Thames, mostly around Hampton Court, executed in 1874, and landscapes depicting places in or near Moret-sur-Loing. The notable paintings of the Seine and its bridges in the former suburbs of Paris are like many of his landscapes, characterised by tranquillity, in pale shades of green, pink, purple, dusty blue and cream. Over the years Sisley's power of expression and colour intensity increased.",24.0,2.0,349.0,1839-10-30,1899-01-29,,sisley
25,25,albrecht durer,http://wikigallery.org/wiki/artist40414/Albrecht-Durer/page-1,,,,,,,,durer
26,26,albert bierstadt,http://wikigallery.org/wiki/artist40581/Albert-Bierstadt/page-1,"Albert Bierstadt (January 7, 1830 – February 18, 1902) was a German-American painter best known for his lavish, sweeping landscapes of the American West. He joined several journeys of the Westward Expansion to paint the scenes. He was not the first artist to record the sites, but he was the foremost painter of them for the remainder of the 19th century.
Bierstadt was born in Prussia, but his family moved to the United States when he was one year old. He returned to study painting for several years in Düsseldorf. He became part of the second generation of the Hudson River School in New York, an informal group of like-minded painters who started painting along the Hudson River. Their style was based on carefully detailed paintings with romantic, almost glowing lighting, sometimes called luminism. Bierstadt was an important interpreter of the western landscape, and he is also grouped with the Rocky Mountain School.",26.0,17.0,142.0,1830-01-07,1902-02-18,,bierstadt
27,27,egon schiele,http://wikigallery.org/wiki/artist39238/Egon-Schiele/page-1,"Egon Leo Adolf Ludwig Schiele (German: [ˈeːɡɔn ˈʃiːlə] (listen); 12 June 1890 – 31 October 1918) was an Austrian Expressionist painter. His work is noted for its intensity and its raw sexuality, and for the many self-portraits the artist produced, including nude self-portraits. The twisted body shapes and the expressive line that characterize Schiele's paintings and drawings mark the artist as an early exponent of Expressionism. Gustav Klimt, a figurative painter of the early 20th century, was a mentor to Schiele.",27.0,18.0,189.0,1890-06-12,1918-10-31,,schiele
